14,1,1,12,14,Jon Snow,Go on Father's watching,"['Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy']"
15,1,1,12,15,Jon Snow,And your mother,"['Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy']"
16,1,1,12,16,Septa Mordane,"Fine work, as always Well done","['Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy']"
17,1,1,12,17,Sansa Stark,Thank you,"['Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Arya Stark', 'Theon Greyjoy']"
18,1,1,12,18,Septa Mordane,I love the detail that you've managed to get in this corners Quite beautiful the stitching,"['Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy']"
19,1,1,12,19,Eddard Stark,"And which one of you was a marksman at ten? Keep practicing, Bran Go on","['Jon Snow', 'Bran Stark', 'Robb Stark', 'Catelyn Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy']"
20,1,1,12,20,Jon Snow,"Don't think too much, Bran","['Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy']"
21,1,1,12,21,Robb Stark,Relax your bow arm JON,"['Jon Snow', 'Bran Stark', 'Eddard Stark', 'Catelyn Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy']"
22,1,1,12,22,Robb Stark,"Quick, Bran, faster","['Jon Snow', 'Bran Stark', 'Eddard Stark', 'Catelyn Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy']"
23,1,1,12,23,Rodrik Cassel,Lord Stark My lady A guardsman just rode in from the hills They've captured a deserter from the Night's Watch,"['Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy']"
24,1,1,12,24,Eddard Stark,Get the lads to saddle their horses,"['Jon Snow', 'Bran Stark', 'Robb Stark', 'Catelyn Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy']"
25,1,1,12,25,Catelyn Stark,Do you have to?,"['Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy']"
26,1,1,12,26,Eddard Stark,"He swore an oath, Cat","['Jon Snow', 'Bran Stark', 'Robb Stark', 'Catelyn Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy']"
27,1,1,12,27,Rodrik Cassel,"The law is law, my lady","['Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy']"
28,1,1,12,28,Eddard Stark,"Tell Bran he's coming, too","['Jon Snow', 'Bran Stark', 'Robb Stark', 'Catelyn Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy']"
29,1,1,12,29,Catelyn Stark,Ned Ten is too young to see such things,"['Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy']"
30,1,1,12,30,Eddard Stark,He won't be a boy forever And winter is coming,"['Jon Snow', 'Bran Stark', 'Robb Stark', 'Catelyn Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy']"
31,1,1,12,31,Robb Stark,"Lad, go run back and get the rest","['Jon Snow', 'Bran Stark', 'Eddard Stark', 'Catelyn Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy']"
32,1,1,13,32,Will,"White Walkers I saw the White Walkers White Walkers The White Walkers, I saw them","['Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Jon Snow']"
33,1,1,13,33,Will,"I know I broke my oath And I know I'm a deserter I should have gone back to the Wall and warned them But I saw what I saw I saw the White Walkers People need to know If you can get word to my family, tell them I'm no coward Tell them I'm sorry","['Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Jon Snow']"
34,1,1,13,34,Will,"Forgive me, lord","['Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Jon Snow']"
35,1,1,13,35,Eddard Stark,"In the name of Robert of the House Baratheon, first of his name","['Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Jon Snow']"
36,1,1,13,36,Jon Snow,Don't look away,"['Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark']"
37,1,1,13,37,Eddard Stark,King of the Andals and the First Men,"['Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Jon Snow']"
38,1,1,13,38,Jon Snow,Father will know if you do,"['Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark']"
39,1,1,13,39,Eddard Stark,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die","['Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Jon Snow']"
40,1,1,13,40,Jon Snow,You did well,"['Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark']"
41,1,1,13,41,Eddard Stark,You understand why I did it?,"['Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Jon Snow']"
42,1,1,13,42,Bran Stark,Jon said he was a deserter,"['Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Jon Snow']"
43,1,1,13,43,Eddard Stark,But do you understand why I had to kill him?,"['Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Jon Snow']"
44,1,1,13,44,Bran Stark,Our way is the old way?,"['Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Jon Snow']"
45,1,1,13,45,Eddard Stark,The man who passes the sentence should swing the sword,"['Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Jon Snow']"
46,1,1,13,46,Bran Stark,Is it true he saw the White Walkers?,"['Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Jon Snow']"
47,1,1,13,47,Eddard Stark,The White Walkers have been gone for thousands of years,"['Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Jon Snow']"
